scenario,foregrounds,regime,filtered,method,replicates,false_any,false_any_low,false_any_high,mean_fdp,sensitivity,endpoint_sensitivity,jump_sensitivity,signal,endpoints,jumps
uncertain,4,null,False,poisson,100,0.05,0.01643187918172828,0.11283491110546288,0.05,0.0,0.0,0.0,0,0,0
uncertain,4,null,True,fixed,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,0,0,0
uncertain,4,null,True,learned,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,0,0,0
uncertain,4,null,True,poisson,100,0.05,0.01643187918172828,0.11283491110546288,0.05,0.0,0.0,0.0,0,0,0
unequal,2,heterogeneous,False,fixed,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,300,14,18
unequal,2,heterogeneous,False,learned,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,300,14,18
unequal,2,heterogeneous,False,poisson,100,0.0,0.0,0.03621669264519054,0.0,0.0033333333333333335,0.07142857142857142,0.05555555555555555,300,14,18
unequal,2,heterogeneous,True,fixed,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,300,14,18
unequal,2,heterogeneous,True,learned,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,300,14,18
unequal,2,heterogeneous,True,poisson,100,0.0,0.0,0.03621669264519054,0.0,0.0033333333333333335,0.07142857142857142,0.05555555555555555,300,14,18
unequal,2,moderate,False,fixed,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,300,63,85
unequal,2,moderate,False,learned,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,300,63,85
unequal,2,moderate,False,poisson,100,0.03,0.006229971538306229,0.08517605297428028,0.03,0.013333333333333334,0.06349206349206349,0.047058823529411764,300,63,85
unequal,2,moderate,True,fixed,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,300,63,85
unequal,2,moderate,True,learned,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,300,63,85
unequal,2,moderate,True,poisson,100,0.03,0.006229971538306229,0.08517605297428028,0.03,0.013333333333333334,0.06349206349206349,0.047058823529411764,300,63,85
unequal,2,null,False,fixed,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,0,0,0
unequal,2,null,False,learned,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,0,0,0
unequal,2,null,False,poisson,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,0,0,0
unequal,2,null,True,fixed,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,0,0,0
unequal,2,null,True,learned,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,0,0,0
unequal,2,null,True,poisson,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,0,0,0
unequal,4,heterogeneous,False,fixed,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.03666666666666667,0.088,0.07096774193548387,300,125,155
unequal,4,heterogeneous,False,learned,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.03666666666666667,0.088,0.07096774193548387,300,125,155
unequal,4,heterogeneous,False,poisson,100,0.06,0.02233488607131637,0.12602993458082287,0.06,0.006666666666666667,0.016,0.012903225806451613,300,125,155
unequal,4,heterogeneous,True,fixed,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.03333333333333333,0.08,0.06451612903225806,300,125,155
unequal,4,heterogeneous,True,learned,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.03333333333333333,0.08,0.06451612903225806,300,125,155
